State,FundOnly,PollsOnly,AdjPollsOnly,Final
US,-3.4,,1.4,-2.7
AL,22.7,,28.7,24.5
AK,9.3,,16.7,12.2
AZ,0.1,,5.7,1.4
AR,25.3,,30.6,26.7
CA,-25.3,,-21.8,-25.6
CO,-11.7,,-6.1,-10.5
CT,-17.1,,-12.6,-16.7
DE,-16.9,,-11.2,-15.4
DC,-76.4,,-79.8,-80.2
FL,4.2,,8.6,4.4
GA,0.1,,5.7,1.1
HI,-25.3,,-19.2,-23.4
ID,27.7,,33.8,29.6
IL,-14.6,,-9.5,-13.8
IN,13.3,,20.8,16.2
IA,7.7,,13.8,9.3
KS,13.2,,18.8,14.6
KY,23.1,,29,24.9
LA,16.7,,20,16.4
ME,-7.6,,-2.1,-6.4
MD,-29.1,,-23.6,-27.9
MA,-28.7,,-26.2,-29.6
MI,-2.2,,1.8,-2.4
MN,-5.9,,-0.7,-5.2
MS,15,,20.4,16.1
MO,13.8,,18,14.1
MT,14.9,,18.1,14.3
NE,17.2,,23.3,18.9
NV,-2,,5.2,0.6
NH,-6,,-1.2,-5.4
NJ,-13.7,,-5.6,-10.5
NM,-9.2,,-4.5,-8.9
NY,-19.4,,-11.5,-16.3
NC,1.4,,6.2,2
ND,30.3,,35.7,31.6
OH,8.7,,9.7,6.4
OK,29.6,,35.4,31.6
OR,-14.1,,-9.9,-13.9
PA,-1.2,,3.3,-0.9
RI,-18.1,,-12.7,-17
SC,10.5,,16.1,11.9
SD,23.7,,26.5,22.9
TN,20.5,,26.4,22.4
TX,5.1,,8.9,4.9
UT,18.6,,25.7,21.5
VT,-30.9,,-27.6,-31.2
VA,-8.6,,-2.2,-6.9
WA,-16.9,,-10.8,-15.1
WV,34.5,,36.8,33.3
WI,-0.1,,2.2,-1.5
WY,38.8,,44.1,40.2
